event,t0_ns,peak_time_ns,amplitude_adc,charge_adc_ns,observed_amplitude_adc,resolvable
0,1005.7115,1024.0000,92.1619,7538.7857,92.1619,1
1,367.7746,386.0000,111.4889,9119.2329,111.4889,1
2,1464.8257,1484.0000,96.2263,7876.2160,96.2263,1
3,765.5985,784.0000,76.8337,6285.5418,76.8337,1
4,709.6101,728.0000,124.2653,10165.6822,124.2653,1
5,246.4256,266.0000,108.4013,8875.9616,108.4013,1
5,1024.1554,1042.0000,60.8054,4975.1744,60.8057,1
6,479.8840,498.0000,114.9604,9402.2981,114.9604,1
6,990.2623,1008.0000,88.1459,7214.8239,88.1731,1
7,697.9188,716.0000,122.2455,9997.8224,122.2455,1
8,1076.2092,1094.0000,99.8203,8168.9033,99.8203,1
9,401.6737,420.0000,114.1706,9339.3748,114.1706,1
9,838.5047,858.0000,97.3653,7971.8796,97.4547,1
10,1361.5499,1380.0000,105.4910,8630.1468,105.4910,1
11,246.3883,266.0000,74.4576,6096.7908,74.4576,1
11,1148.1098,1166.0000,108.4228,8869.9335,108.4228,1
12,1192.3747,1210.0000,78.7451,6447.8483,78.7451,1
13,258.3949,278.0000,76.9698,6302.4675,76.9698,1
14,439.6364,458.0000,96.7789,7916.9459,96.7789,1
14,1279.9747,1298.0000,114.6085,9372.7434,114.6086,1
15,876.0733,894.0000,113.6150,9293.5731,113.6150,1
16,426.3513,444.0000,86.5661,7087.6850,86.5661,1
17,209.2810,228.0000,87.0164,7120.3899,87.0164,1
18,795.3498,814.0000,103.4468,8464.3955,103.4468,1
19,1368.3849,1388.0000,88.3543,7234.6006,88.3543,1
20,734.6479,754.0000,77.0816,6310.4794,77.0816,1
21,865.6638,884.0000,81.7392,6686.4828,81.7392,1
22,457.5707,476.0000,98.8530,8087.0607,98.8530,1
23,846.4980,866.0000,102.4345,8386.9589,102.4345,1
23,1255.0822,1274.0000,95.0512,7779.0602,95.1810,1
24,854.0989,872.0000,76.6110,6267.2271,76.6110,1
25,380.1623,398.0000,96.5013,7896.0417,96.5013,1
25,1114.9622,1134.0000,59.0147,4830.2618,59.0153,1
26,1265.3485,1284.0000,77.0437,6303.9904,77.0437,1
27,739.2811,758.0000,60.1310,4920.4106,60.1310,1
27,1156.2672,1174.0000,84.2223,6893.7866,84.2898,1
28,892.8795,912.0000,86.6921,7096.0562,86.6921,1
28,1265.7791,1284.0000,65.9991,5398.3625,66.2004,1
29,481.7038,500.0000,136.5752,11171.8384,136.5752,1
29,1403.4035,1422.0000,85.0374,6957.5956,85.0375,1
30,459.7318,478.0000,116.7614,9550.8390,116.7614,1
30,859.6273,878.0000,97.7405,7995.6762,97.9130,1
31,387.9796,406.0000,79.5099,6502.3577,79.5099,1
32,412.4226,432.0000,86.1148,7051.1442,86.1148,1
32,957.0661,976.0000,85.6552,7010.1837,85.6665,1
32,1479.9735,1498.0000,85.8391,7019.3470,85.8554,1
33,999.0089,1018.0000,81.8519,6699.2096,81.8519,1
34,709.5712,728.0000,92.5057,7567.7923,92.5057,1
34,1370.3387,1388.0000,92.7955,7597.2789,92.7973,1
35,1141.1012,1160.0000,82.7152,6769.3833,82.7152,1
36,1357.2521,1376.0000,72.2675,5913.5817,72.2675,1
37,866.6846,886.0000,101.2881,8291.9852,101.2881,1
38,568.7944,588.0000,120.6853,9879.1448,120.6853,1
38,1404.5544,1424.0000,105.7493,8657.7938,105.7495,1
39,507.8421,526.0000,125.4600,10261.4042,125.4600,1
40,754.5948,774.0000,121.6215,9957.2337,121.6215,1
41,767.3206,786.0000,107.2437,8775.2801,107.2437,1
41,1416.6789,1436.0000,115.1944,9430.1683,115.1969,1
