event,t0_ns,peak_time_ns,amplitude_adc,charge_adc_ns,observed_amplitude_adc,resolvable
0,200.0000,218.0000,117.9385,9644.8934,214.3653,1
0,205.8263,224.0000,102.4757,8381.6276,217.6513,1
0,367.1329,386.0000,54.4993,4460.0990,70.8653,1
0,418.3342,436.0000,87.2189,7140.7087,222.3220,0
0,421.3197,440.0000,74.1893,6070.5877,254.0045,1
0,433.8361,452.0000,88.4193,7231.8737,258.4968,1
1,200.0000,218.0000,99.3081,8121.3209,99.3081,1
1,275.6903,294.0000,96.1177,7862.5054,128.7399,1
1,311.1899,330.0000,89.8672,7354.1954,237.2939,1
1,313.2078,332.0000,68.7797,5628.4466,234.5829,1
1,482.0212,500.0000,96.2456,7871.4195,111.7846,1
2,200.0000,218.0000,110.4621,9033.4826,165.3175,1
2,212.5054,232.0000,85.1208,6969.3431,183.9202,1
2,347.8110,366.0000,98.4758,8054.5740,119.7837,1
3,200.0000,218.0000,117.8558,9638.1263,239.3222,1
3,204.1894,222.0000,125.1668,10242.4848,241.8529,1
3,238.8463,258.0000,59.4594,4867.0830,210.0012,0
4,200.0000,218.0000,61.3720,5018.9370,61.3720,1
4,408.5870,428.0000,86.4588,7078.4813,88.6195,1
4,586.1688,604.0000,96.8914,7928.1361,102.2475,1
4,812.4840,832.0000,86.0914,7048.9182,88.7460,1
4,881.9936,900.0000,55.4789,4537.0338,87.8547,1
5,200.0000,218.0000,89.9507,7356.0752,89.9507,1
5,223.1516,242.0000,97.9142,8012.9581,167.4686,1
5,261.1623,280.0000,59.5098,4870.0306,156.4182,1
5,321.2153,340.0000,141.2185,11556.2544,202.0747,1
5,373.4877,392.0000,88.4566,7237.0368,182.2923,1
5,392.1346,410.0000,100.2328,8200.6061,244.0401,1
6,200.0000,218.0000,87.8771,7186.5043,87.8771,1
6,223.4266,242.0000,105.7285,8650.5618,173.6795,1
6,371.1239,390.0000,107.6275,8808.0458,178.2244,0
6,386.1406,404.0000,107.8791,8826.3634,272.8207,1
6,397.6883,416.0000,81.2736,6648.2578,270.4710,1
7,200.0000,218.0000,109.8458,8983.0791,166.1641,0
7,212.9266,232.0000,92.1162,7539.7708,190.3643,1
7,263.9868,282.0000,77.9379,6373.7541,167.8198,1
7,296.0945,314.0000,95.6261,7822.6589,201.4302,1
8,200.0000,218.0000,88.0752,7202.7045,88.0752,1
8,349.8168,368.0000,98.2468,8035.8050,106.6757,1
8,435.8407,454.0000,113.5089,9283.9328,142.7502,1
8,609.1494,628.0000,100.5966,8232.4845,184.9718,1
8,610.6380,630.0000,75.5889,6188.3253,184.2927,1
9,200.0000,218.0000,103.2183,8441.0926,103.2183,1
9,293.4916,312.0000,96.3523,7882.9926,121.4718,1
9,347.8843,366.0000,129.9645,10629.4424,185.4293,1
9,486.2530,504.0000,110.4162,9037.3836,131.1389,1
9,508.7577,528.0000,78.2483,6405.4820,177.8885,1
10,200.0000,218.0000,87.9240,7190.3391,87.9240,1
10,267.2238,286.0000,76.8354,6287.5845,191.2832,1
10,275.9161,294.0000,92.1323,7535.0424,194.1248,1
11,200.0000,218.0000,101.7062,8317.4336,101.7062,1
11,223.3491,242.0000,93.2791,7632.4437,171.9234,1
11,244.0125,262.0000,90.6447,7413.1373,223.4120,1
11,267.5461,286.0000,76.1514,6229.9906,291.6529,1
11,281.0520,300.0000,92.5374,7573.5228,287.3174,1
11,316.2572,334.0000,98.4791,8060.4662,270.2715,1
12,200.0000,218.0000,86.4262,7067.8447,180.7586,0
12,214.1291,232.0000,116.3277,9517.2432,292.8778,1
12,215.5155,234.0000,99.7619,8161.7905,291.2077,1
13,200.0000,218.0000,66.8390,5466.0292,66.8390,0
13,219.5968,238.0000,138.2310,11308.2937,193.1573,1
13,259.7568,278.0000,97.5459,7978.8879,208.2201,1
13,278.3767,296.0000,66.5672,5450.7313,253.4839,1
13,294.5103,314.0000,98.7180,8082.6010,278.1849,1
14,200.0000,218.0000,91.8209,7509.0216,233.6421,0
14,209.8374,228.0000,98.9161,8090.4079,317.7433,1
14,214.6699,234.0000,137.6641,11270.0403,314.0515,1
14,332.3768,350.0000,127.4594,10436.7826,177.0862,1
14,361.4227,380.0000,110.1705,9014.0276,230.5078,1
15,200.0000,218.0000,93.2857,7628.8102,93.2857,1
15,372.0663,390.0000,85.5294,6996.0424,91.7165,1
15,410.1713,428.0000,113.0862,9253.3565,169.2415,1
15,469.4861,488.0000,120.0643,9823.0231,227.5888,0
15,485.2551,504.0000,98.7597,8081.4885,339.5325,1
15,497.7159,516.0000,119.9479,9811.6203,339.6195,1
16,200.0000,218.0000,119.9830,9812.0932,119.9830,1
16,247.5669,266.0000,104.3997,8540.8619,344.7033,1
16,248.0399,266.0000,136.6379,11175.5806,344.7033,1
16,262.1526,280.0000,81.1999,6643.8178,346.0567,1
17,200.0000,218.0000,92.9694,7602.9411,92.9694,0
17,218.2236,236.0000,116.4517,9530.4194,195.1239,1
17,302.4092,322.0000,90.9733,7449.0262,228.3332,1
17,307.6107,326.0000,87.6781,7172.6200,225.1899,1
18,200.0000,218.0000,75.8981,6206.8723,75.8981,1
18,252.9678,272.0000,86.7234,7098.1433,122.6850,1
18,343.9690,362.0000,87.2307,7133.8328,117.4292,1
18,416.3667,434.0000,70.2806,5754.6013,109.9890,1
18,437.9499,456.0000,103.4349,8459.1740,187.3457,1
18,466.4874,486.0000,80.7927,6615.0587,204.8186,1
19,200.0000,218.0000,113.8722,9312.3532,113.8722,1
19,287.7859,306.0000,116.2617,9509.5281,146.8883,1
19,355.3446,374.0000,90.1497,7376.4104,143.4814,1
20,200.0000,218.0000,99.1832,8111.1056,99.1832,1
20,246.1028,264.0000,80.9242,6620.1567,134.5912,1
20,306.9376,326.0000,115.1041,9421.2617,167.8456,1
21,200.0000,218.0000,72.9896,5969.0173,72.9896,1
21,251.2710,270.0000,95.4741,7812.5354,221.2873,1
21,258.9220,278.0000,98.5074,8062.9212,220.6938,1
21,362.5034,382.0000,52.9772,4337.5612,207.0031,1
21,363.7058,382.0000,111.5672,9126.1654,207.0031,1
21,429.8692,448.0000,80.6169,6593.5230,157.8787,1
22,200.0000,218.0000,89.8628,7348.8862,89.8628,1
22,280.9097,300.0000,76.0398,6223.9888,155.0028,1
22,294.8701,314.0000,84.8340,6944.0080,173.0035,1
22,458.0940,476.0000,82.8844,6780.3159,95.4608,1
22,480.7748,500.0000,73.4159,6009.8177,146.0384,1
22,567.5743,586.0000,106.7666,8734.4427,144.2557,1
23,200.0000,218.0000,88.7402,7257.0820,88.7402,1
23,247.4415,266.0000,113.9457,9322.7693,160.3967,1
23,305.5162,324.0000,92.9108,7601.2768,160.6203,1
23,453.7342,472.0000,76.7461,6277.6621,91.6093,1
24,200.0000,218.0000,80.6609,6596.3672,80.6609,1
24,282.4343,302.0000,64.8651,5311.1578,179.9047,1
24,288.0758,306.0000,94.5111,7730.9610,179.7991,1
24,358.0772,376.0000,84.8953,6944.4240,147.4827,1
25,200.0000,218.0000,80.2668,6564.1362,80.2668,1
25,248.1450,266.0000,99.4510,8136.9224,275.5534,1
25,249.3516,268.0000,107.5660,8801.4333,276.6549,1
25,256.8181,276.0000,31.7150,2596.1065,263.3732,1
25,279.2718,298.0000,115.7619,9472.6560,307.9859,1
26,200.0000,218.0000,92.0874,7530.8158,170.8600,1
26,208.8976,228.0000,92.9246,7606.1041,179.4285,1
26,257.1965,276.0000,84.7599,6936.2100,173.3381,1
27,200.0000,218.0000,104.5562,8550.4993,104.5562,1
27,247.7590,266.0000,120.3383,9843.1938,175.0681,1
27,295.0132,314.0000,118.9688,9737.0326,311.2700,1
27,296.6636,316.0000,105.0941,8603.6966,307.9295,1
28,200.0000,218.0000,99.5421,8140.4571,99.5421,1
28,236.4899,256.0000,117.1085,9588.4713,178.5691,1
28,330.7173,350.0000,83.3941,6826.9238,124.0571,1
28,452.2441,470.0000,102.7120,8406.5469,121.0962,1
28,568.7603,588.0000,105.3115,8620.8835,124.7143,1
29,200.0000,218.0000,115.2932,9428.5610,115.2932,1
29,283.7357,302.0000,69.5218,5686.7205,102.6682,1
29,419.6594,438.0000,78.3343,6407.9779,90.1329,1
29,459.6123,478.0000,105.1469,8601.6610,157.7299,1
29,486.9785,506.0000,112.7118,9225.1720,221.5872,1
29,602.5234,622.0000,89.0528,7291.1883,123.5617,1
30,200.0000,218.0000,71.3516,5835.0613,136.8484,0
30,209.5465,228.0000,79.9131,6537.7398,250.9760,1
30,218.0379,236.0000,118.2220,9669.2869,254.8903,1
30,286.7061,306.0000,103.7372,8492.3467,191.0655,1
31,200.0000,218.0000,82.8899,6778.6559,82.8899,1
31,287.6586,306.0000,107.8268,8820.5515,130.1205,1
31,310.0963,328.0000,91.3876,7475.9699,192.3452,1
31,446.9296,466.0000,81.0200,6631.5216,168.2712,1
31,452.2874,470.0000,68.4259,5601.2057,167.6701,1
32,200.0000,218.0000,97.7295,7992.2180,97.7295,1
32,284.4782,304.0000,63.6551,5211.9179,90.8309,1
32,379.6637,398.0000,127.4166,10423.0170,148.1997,1
32,438.9936,458.0000,94.4949,7734.0767,156.4561,1
32,464.3798,484.0000,117.0510,9584.5052,226.9185,1
